question_id,question,gold_answer,predicted_answer,judge_label,is_correct
37,What specific limitation of standard RAG systems does OG-RAG aim to solve?,"OG-RAG addresses the problem of irrelevant or weakly grounded retrieved context in standard RAG systems. Traditional RAG relies mostly on vector similarity, which can retrieve text that is semantically close but conceptually incorrect. OG-RAG improves grounding by using structured ontologies to guide retrieval. This ensures that retrieved documents are not only similar but also conceptually aligned with the query.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
38,How does OG-RAG incorporate ontologies into the retrieval process?,"OG-RAG integrates ontologies by mapping user queries and documents to ontology concepts and relationships. These ontology-based representations are used to filter and rank retrieved documents. As a result, retrieval is guided by explicit domain knowledge rather than pure embedding similarity. This leads to more precise and interpretable retrieval results.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
39,What type of improvement does OG-RAG demonstrate compared to standard RAG models?,"The paper shows that OG-RAG improves answer accuracy and factual consistency across evaluated tasks. It reduces hallucinations by grounding generation in ontology-aligned evidence. Experimental results indicate more stable performance, especially in domain-specific question answering. This demonstrates the effectiveness of ontology grounding in RAG pipelines.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
40,What makes CottonBot different from traditional RAG-based agricultural chatbots?,"CottonBot integrates RAG with agentic LLM tools, combining static knowledge from the Georgia cotton production guide with real-time farm-specific data from IoT soil moisture sensors and weather forecast APIs. Unlike traditional systems that rely solely on static knowledge bases, CottonBot delivers dynamic, field-specific irrigation recommendations using live sensor data and crop-specific thresholds.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
41,Which embedding model and vector database combination performed best in CottonBot's RAG pipeline?,"The all-MiniLM-L6-v2 embedding model paired with FAISS achieved the highest retrieval performance with MRR of 0.8855, Recall@5 of 0.9476, and Precision@5 of 0.9285. For the generation phase, Llama 3.1 produced the most faithful and semantically accurate responses with 0.9681 faithfulness score and 0.9523 cosine similarity.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
42,How does CottonBot make irrigation decisions?,"CottonBot uses depth-weighted soil moisture readings from sensors at 8-, 16-, and 24-inch depths, applying dynamic weights that change with crop growth stages (DAP). It combines current weighted averages with 7-day weather forecasts and LSTM predictions to provide recommendations. When weighted moisture tension exceeds 45 kPa and no rainfall is expected, it recommends irrigation with specific water amounts.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
43,Why is self-attention more efficient than recurrent networks for sequence modeling?,"Self-attention allows parallel processing of all tokens in a sequence, reducing training time and improving the ability to model long-range dependencies.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
44,What role does positional encoding play in the Transformer model?,Positional encoding injects information about token order into the model so that the Transformer can understand sequence structure despite lacking recurrence.,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
45,Why does the Transformer use multi-head attention instead of a single attention mechanism?,"Multi-head attention allows the model to attend to different representation subspaces and capture various types of relationships between tokens simultaneously, improving expressiveness and performance.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
46,What three query refinement actions does RQ-RAG train the model to perform?,"RQ-RAG trains the model to rewrite, decompose, and disambiguate queries before retrieval.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
47,Which base model is used to train and evaluate the RQ-RAG framework?,RQ-RAG is trained and evaluated using the Llama2-7B model,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
48,By how much does RQ-RAG outperform the previous state-of-the-art Self-RAG on single-hop QA tasks on average?,RQ-RAG outperforms Self-RAG by an average of 1.9% across three single-hop QA datasets,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
49,What approach enhances language model outputs by retrieving structured relationships between entities rather than relying only on text similarity?,Graph-based retrieval-augmented generation.,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
50,What is the main purpose of using graph structures in knowledge retrieval systems?,To model and utilize relationships between entities.,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
51,Which type of data representation consists of nodes connected by edges to express relationships?,A graph.,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
52,What are the main steps in the execution flow of a RAG system?,Query encoding → document retrieval (top-K) → context preparation → answer generation → fusion and output.,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
53,How has RAG evolved from 2017 to 2025?,"RAG evolved from retrieve-and-read QA pipelines to dense retrieval, end-to-end retriever–generator models, scalable LLM-based RAG, and agentic, secure, multimodal RAG systems.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
54,Why is RAG important for industry and proprietary data?,"RAG enables accurate, up-to-date, and secure use of proprietary knowledge without retraining models, reducing hallucinations and improving transparency.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
55,What main problem of LLMs does Retrieval-Augmented Generation (RAG) aim to solve?,RAG reduces hallucinations by allowing LLMs to use up-to-date external information.,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
56,Into how many core phases does the paper divide the RAG framework?,"The RAG framework is divided into four phases: pre-retrieval, retrieval, post-retrieval, and generation.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
57,Why is RAG considered more cost-effective than retraining LLMs?,RAG updates knowledge through retrieval without requiring model retraining.,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
58,"How does GraphRAG extract entities, relationships, and claims from text?","GraphRAG uses a Large Language Model to extract entities (such as organizations or people), relationships between entities, and factual claims from text chunks. This process relies on prompt-based in-context learning, where few-shot examples can be tailored to specific domains. The extracted elements may not always be explicitly stated in the text, making this step a form of abstractive summarization.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
59,How are extracted entities and relationships transformed into a knowledge graph?,"After extraction, multiple instances of the same entity or relationship are aggregated. Entities become nodes and relationships become edges in the knowledge graph. Descriptions are summarized for each node and edge, while duplicate relationships are combined and represented as edge weights. Claims are aggregated in a similar manner.",,INCORRECT,False
60,Why is GraphRAG resilient to duplicate or slightly different entity names?,"GraphRAG can tolerate duplicate entities because it uses exact string matching initially and later clusters similar entities during summarization. This means that even if the same entity appears under different names, it is typically grouped together in later stages, reducing the impact of duplication on final answers.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
